Catalog format:
Year Month Day Hour Minute Second Longitude(°) Latitude(°) Depth(m) Magnitude(ML)
2021 05 27 00 06 02 99.8825 25.6656 4476.71 0.3
2021 05 27 00 08 21 99.8819 25.6730 6795.94 0.2
2021 05 27 00 09 37 99.9199 25.6486 5646.61 0.2
2021 05 27 00 10 21 99.8744 25.6830 4153.37 -0.5
2021 05 27 00 16 56 99.9325 25.6004 455.54 -0.3
2021 05 27 00 19 14 99.9087 25.6498 5070.48 -0.2
2021 05 27 00 22 41 99.9042 25.6670 5975.83 0.8
2021 05 27 00 23 48 100.0015 25.5733 3389.11 0.5
2021 05 27 00 24 38 99.8907 25.6780 4523.74 -0.4
2021 05 27 00 29 42 99.8862 25.6770 7469.07 0.9
2021 05 27 00 30 54 99.9053 25.6518 4800.05 0.4
2021 05 27 00 34 12 99.9535 25.5623 8198.06 0.3
2021 05 27 00 35 37 99.9014 25.6671 3706.57 -0.4
2021 05 27 00 36 07 99.8974 25.6725 4141.61 -0.3
2021 05 27 00 37 15 99.9104 25.6648 3436.14 -0.1
2021 05 27 00 40 32 99.9693 25.5605 10361.50 0.2
2021 05 27 00 41 59 99.9651 25.6119 5329.15 0.0
2021 05 27 00 51 55 99.9384 25.5788 7962.90 0.2
2021 05 27 00 53 02 99.8781 25.7177 6293.29 0.1
2021 05 27 01 06 46 99.9320 25.6042 6175.71 2.1
2021 05 27 01 07 48 99.9471 25.6180 1472.59 0.0
2021 05 27 01 10 06 99.9755 25.5946 6528.45 0.6
2021 05 27 01 11 37 99.9293 25.5982 5793.59 -0.1
2021 05 27 01 12 54 99.8949 25.6599 7627.80 0.1
2021 05 27 01 14 03 99.9311 25.6034 5787.71 0.1
2021 05 27 01 18 18 99.9338 25.6072 4476.71 -0.2
2021 05 27 01 20 42 100.0138 25.5543 11443.21 0.0
2021 05 27 01 25 23 99.9192 25.7309 10990.54 0.5
2021 05 27 01 28 46 99.9228 25.6207 4753.02 0.3
2021 05 27 01 27 56 99.9330 25.6034 6046.38 0.2
2021 05 27 01 30 29 99.9723 25.5996 5770.07 1.4
2021 05 27 01 31 17 99.9400 25.5887 -714.36 0.3
2021 05 27 01 33 25 99.9472 25.7778 6745.97 0.7
2021 05 27 01 35 30 99.9467 25.7851 6769.48 1.1
2021 05 27 01 37 12 99.9529 25.5649 6704.82 0.5
2021 05 27 01 38 19 99.9305 25.6059 5728.92 0.1
2021 05 27 01 39 06 99.9690 25.5566 6446.14 0.0
2021 05 27 01 41 20 100.0047 25.5692 6816.52 0.2
2021 05 27 01 43 17 99.9729 25.5996 6075.77 0.9
2021 05 27 01 43 31 99.9808 25.5863 6402.05 0.3
2021 05 27 01 45 47 99.9972 25.5815 3965.25 0.2
2021 05 27 01 46 24 99.8855 25.6413 3442.02 -0.4
2021 05 27 01 47 59 99.9722 25.6045 6046.38 -0.2
2021 05 27 01 48 54 99.9426 25.7366 5358.55 0.2
2021 05 27 01 51 36 99.9016 25.6530 7727.75 -0.2
2021 05 27 01 53 23 99.9323 25.5841 4335.62 -0.1
2021 05 27 01 53 51 99.9560 25.5668 4741.26 -0.2
2021 05 27 01 56 16 99.9021 25.6534 6111.05 0.0
2021 05 27 01 58 51 99.9106 25.5671 967.00 -0.2
2021 05 27 01 59 55 99.9479 25.6081 6069.89 0.1
2021 05 27 02 01 42 99.9350 25.5466 3800.64 -0.3
2021 05 27 02 06 02 99.9007 25.6589 5681.89 0.3
2021 05 27 02 08 11 99.9219 25.6260 4623.68 -0.4
2021 05 27 02 09 14 99.9319 25.6128 1984.06 -0.3
2021 05 27 02 13 43 99.9728 25.5676 7833.57 0.4
2021 05 27 02 15 18 99.8827 25.6723 4129.86 1.2
2021 05 27 02 18 28 100.0070 25.5696 7904.11 0.1
2021 05 27 02 19 01 99.9324 25.6062 6269.78 1.1
2021 05 27 02 24 58 99.8988 25.6527 4459.07 1.5
2021 05 27 02 25 40 99.9906 25.5782 6246.26 0.7
2021 05 27 02 27 56 99.8997 25.6681 3947.61 0.0
2021 05 27 02 30 57 99.9845 25.5906 6222.75 0.1
2021 05 27 02 33 45 99.9919 25.5779 6434.39 -0.1
2021 05 27 02 35 40 99.8972 25.6502 3882.94 -0.1
2021 05 27 02 38 26 99.9644 25.5662 6046.38 0.3
2021 05 27 02 39 47 99.9059 25.6535 4964.66 0.7
