Catalog format:
Year Month Day Hour Minute Second Longitude(°) Latitude(°) Depth(m)
2021 05 27 00 06 0.990 99.8735 25.6781 2220
2021 05 27 00 08 18.920 99.8799 25.6779 5900
2021 05 27 00 09 35.130 99.9249 25.6517 3215
2021 05 27 00 10 20.010 99.8766 25.6880 3119
2021 05 27 00 19 12.040 99.8999 25.6615 4249
2021 05 27 00 22 39.050 99.9020 25.6730 3845
2021 05 27 00 23 47.100 100.0044 25.5694 4524
2021 05 27 00 24 36.060 99.8950 25.6786 2434
2021 05 27 00 29 39.890 99.8791 25.6870 6067
2021 05 27 00 30 52.100 99.9000 25.6614 3651
2021 05 27 00 34 9.840 99.9620 25.5660 7593
2021 05 27 00 35 35.070 99.9038 25.6696 2483
2021 05 27 00 36 6.050 99.9026 25.6731 2121
2021 05 27 00 37 13.140 99.9142 25.6655 1313
2021 05 27 00 41 55.980 99.9712 25.6116 6277
2021 05 27 00 51 51.770 99.9437 25.5843 7848
2021 05 27 00 53 1.030 99.8830 25.7199 4072
2021 05 27 01 06 44.020 99.9322 25.6063 5156
2021 05 27 01 07 45.290 99.9499 25.6214 1929
2021 05 27 01 10 5.120 99.9749 25.5984 2916
2021 05 27 01 11 34.970 99.9314 25.6025 4882
2021 05 27 01 12 51.940 99.8976 25.6649 5787
2021 05 27 01 14 1.080 99.9326 25.6058 4600
2021 05 27 01 20 40.010 100.0133 25.5517 9703
2021 05 27 01 25 19.240 99.9318 25.7324 4281
2021 05 27 01 27 54.050 99.9359 25.6047 4243
2021 05 27 01 28 43.960 99.9209 25.6252 3827
2021 05 27 01 30 27.180 99.9804 25.6032 3306
2021 05 27 01 33 20.650 99.9474 25.7810 -878
2021 05 27 01 35 25.790 99.9463 25.7696 -1997
2021 05 27 01 37 10.950 99.9498 25.5593 6881
2021 05 27 01 38 16.990 99.9358 25.6045 4090
2021 05 27 01 41 19.100 100.0036 25.5694 4280
2021 05 27 01 43 15.170 99.9805 25.6035 3673
2021 05 27 01 43 29.160 99.9898 25.5933 1777
2021 05 27 01 45 45.050 100.0004 25.5772 5803
2021 05 27 01 47 57.050 99.9760 25.6062 4414
2021 05 27 01 51 33.900 99.8989 25.6573 7167
2021 05 27 01 53 48.830 99.9641 25.5663 5772
2021 05 27 01 56 14.080 99.9035 25.6592 4085
2021 05 27 01 58 49.770 99.9191 25.5883 3664
2021 05 27 01 59 53.050 99.9524 25.6113 4588
2021 05 27 02 01 40.830 99.9460 25.5550 4863
2021 05 27 02 05 60.000 99.9058 25.6566 -320
2021 05 27 02 08 10.050 99.9161 25.6266 4213
2021 05 27 02 09 11.500 99.9389 25.6147 9206
2021 05 27 02 13 41.030 99.9748 25.5671 6226
2021 05 27 02 15 16.010 99.8764 25.6830 1345
2021 05 27 02 18 27.040 100.0078 25.5683 6179
2021 05 27 02 18 59.060 99.9325 25.6071 4591
2021 05 27 02 24 55.720 99.8924 25.6631 1271
2021 05 27 02 25 39.120 99.9917 25.5811 2332
2021 05 27 02 30 55.080 99.9901 25.5926 4390
2021 05 27 02 33 43.080 99.9917 25.5806 3503
2021 05 27 02 35 38.140 99.8928 25.6641 1493
2021 05 27 02 38 25.090 99.9659 25.5653 4615
2021 05 27 02 39 46.070 99.9014 25.6614 3808
2021 05 27 02 42 24.070 99.8884 25.6757 2702
2021 05 27 02 44 4.980 99.9456 25.5705 4107
2021 05 27 02 48 10.980 99.8699 25.6797 3263
2021 05 27 02 52 59.870 99.9785 25.5913 5454
2021 05 27 02 54 57.120 99.9868 25.5970 2534
2021 05 27 02 56 54.130 99.9633 25.6214 3886
2021 05 27 03 05 23.050 99.9377 25.6445 4688
2021 05 27 03 06 47.950 99.9857 25.5975 5039
2021 05 27 03 07 27.020 99.9492 25.5610 6704
2021 05 27 03 09 47.990 99.9611 25.6209 5692
2021 05 27 03 10 11.030 99.9611 25.6207 5051
2021 05 27 03 11 32.870 99.8980 25.6581 7028
2021 05 27 03 13 15.150 99.8987 25.6553 2661
2021 05 27 03 14 14.010 99.9607 25.6215 5512
2021 05 27 03 15 5.010 99.9351 25.7375 0465
2021 05 27 03 16 41.850 99.9488 25.5561 4825
2021 05 27 03 21 17.940 99.9614 25.6221 5255
2021 05 27 03 31 28.880 99.9658 25.5690 5058
2021 05 27 03 32 30.840 99.8520 25.6992 6174
2021 05 27 03 33 57.010 99.9296 25.6317 3545
2021 05 27 03 35 3.090 99.9647 25.5748 5565
2021 05 27 03 37 58.850 99.9667 25.5758 5638
2021 05 27 03 39 50.130 99.9809 25.6013 2219
2021 05 27 03 41 13.100 99.9305 25.6059 0721
2021 05 27 03 42 47.850 99.9474 25.5854 4441
2021 05 27 03 46 6.010 99.9160 25.6489 5713
2021 05 27 03 47 33.140 99.8961 25.6584 1366
2021 05 27 03 54 34.900 99.9638 25.5707 4548
2021 05 27 03 55 37.060 99.9335 25.6307 4263
2021 05 27 03 56 40.860 99.9601 25.5485 5614
2021 05 27 03 59 59.040 99.9507 25.6115 4624
2021 05 27 04 03 4.010 99.9327 25.6069 5065
2021 05 27 04 04 17.920 99.9345 25.6105 4385
2021 05 27 04 05 37.940 99.8836 25.6772 5356
2021 05 27 04 08 43.980 100.0612 25.4890 4929
2021 05 27 04 09 20.870 100.0036 25.5797 5577
2021 05 27 04 10 21.020 99.9322 25.6071 5194
2021 05 27 04 12 12.150 99.9401 25.5962 4005
2021 05 27 04 15 27.100 99.8907 25.6700 2844
2021 05 27 04 16 28.860 99.8484 25.5441 4752
2021 05 27 04 17 33.130 99.9776 25.5507 4080
2021 05 27 04 18 12.170 99.8948 25.6629 6870
